timestamp,open,high,low,close,volume,volCcy,volCcyQuote,confirm
2025-10-29 05:00:00,1.0762,1.0816,1.0752,1.0777,409652,409652,441423.0943,1
2025-10-29 05:15:00,1.0777,1.0839,1.0772,1.0838,543267,543267,587017.1541,1
2025-10-29 05:30:00,1.0838,1.0879,1.08,1.08,710540,710540,770339.8582,1
2025-10-29 05:45:00,1.08,1.0817,1.0723,1.0727,885335,885335,952716.9969,1
2025-10-29 06:00:00,1.0726,1.0815,1.0715,1.078,716288,716288,771232.1131,1
2025-10-29 06:15:00,1.078,1.0812,1.0722,1.0751,501000,501000,539016.5228,1
2025-10-29 06:30:00,1.0752,1.0774,1.072,1.073,439911,439911,472559.8771,1
2025-10-29 06:45:00,1.073,1.0797,1.073,1.0783,584914,584914,629706.5018,1
2025-10-29 07:00:00,1.0783,1.079,1.0721,1.073,505191,505191,543677.4964,1
2025-10-29 07:15:00,1.073,1.0768,1.0727,1.0745,435057,435057,467582.1793,1
2025-10-29 07:30:00,1.0745,1.0745,1.0621,1.0644,1939532,1939532,2068373.2171,1
2025-10-29 07:45:00,1.0644,1.0694,1.06,1.0654,1246345,1246345,1326683.1915,1
2025-10-29 08:00:00,1.0654,1.0828,1.0641,1.065,2624324,2624324,2818236.4832,1
2025-10-29 08:15:00,1.0649,1.0688,1.0607,1.0648,1571722,1571722,1674117.6054,1
2025-10-29 08:30:00,1.0648,1.0689,1.0513,1.0586,2275342,2275342,2409116.8977,1
2025-10-29 08:45:00,1.0586,1.066,1.0574,1.0633,553525,553525,588023.1949,1
2025-10-29 09:00:00,1.0633,1.0645,1.0587,1.0607,492216,492216,522448.5309,1
2025-10-29 09:15:00,1.0606,1.0675,1.0606,1.064,800936,800936,852412.7051,1
2025-10-29 09:30:00,1.0642,1.0733,1.0622,1.0725,852291,852291,910591.2607,1
2025-10-29 09:45:00,1.0724,1.0725,1.067,1.0674,298542,298542,319172.3239,1
2025-10-29 10:00:00,1.0672,1.0749,1.0667,1.0748,467585,467585,500390.9921,1
2025-10-29 10:15:00,1.0748,1.0826,1.0736,1.0773,1942557,1942557,2094952.7063,1
2025-10-29 10:30:00,1.0775,1.0823,1.0734,1.0758,1015674,1015674,1094267.7052,1
2025-10-29 10:45:00,1.0757,1.0784,1.0696,1.0701,418264,418264,448958.5852,1
2025-10-29 11:00:00,1.0701,1.0757,1.0682,1.0754,514525,514525,551433.1412,1
2025-10-29 11:15:00,1.0754,1.0807,1.0742,1.0776,482492,482492,519920.0581,1
2025-10-29 11:30:00,1.0778,1.081,1.0759,1.0777,580587,580587,626164.9846,1
2025-10-29 11:45:00,1.0777,1.0854,1.0777,1.0823,558663,558663,604414.0035,1
2025-10-29 12:00:00,1.0823,1.0859,1.0771,1.0837,740215,740215,800767.0735,1
2025-10-29 12:15:00,1.0836,1.0859,1.0794,1.0813,436579,436579,472425.4349,1
2025-10-29 12:30:00,1.0814,1.0832,1.0781,1.0828,428909,428909,463454.5134,1
2025-10-29 12:45:00,1.0829,1.0852,1.079,1.0817,385082,385082,416694.5732,1
2025-10-29 13:00:00,1.0816,1.0848,1.0785,1.0829,560983,560983,607086.8741,1
2025-10-29 13:15:00,1.0829,1.0896,1.0816,1.0864,823284,823284,893958.9777,1
2025-10-29 13:30:00,1.0864,1.0894,1.0691,1.0714,2603968,2603968,2800843.6614,1
2025-10-29 13:45:00,1.0713,1.073,1.064,1.0689,1627780,1627780,1738387.2951,1
2025-10-29 14:00:00,1.0688,1.0706,1.0562,1.0629,2036296,2036296,2161047.226,1
